,dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,num_of_branches,branching_ratio
14,adult,fnlwgt,14,33,59,6,1,6,-1,0.0303030303030303,0.03030303030303031,4.5,4.5,20,120,0.16666666666666666
15,adult,fnlwgt,15,39,62,7,1,12,-1,0.025641025641025637,0.02564102564102564,5.0,5.333333333333333,17,126,0.1349206349206349
16,adult,fnlwgt,16,38,61,8,1,12,-1,0.026315789473684216,0.02631578947368421,4.5,4.625,17,128,0.1328125
17,adult,fnlwgt,17,44,68,6,1,5,-1,0.022727272727272728,0.022727272727272728,5.0,5.0,18,138,0.13043478260869565
18,adult,fnlwgt,18,41,63,7,1,11,-1,0.024390243902439025,0.02439024390243902,4.5,5.25,22,130,0.16923076923076924
19,adult,fnlwgt,19,39,59,7,1,15,-1,0.025641025641025637,0.025641025641025647,4.5,4.5,25,122,0.20491803278688525
20,adult,fnlwgt,20,40,70,7,1,11,-1,0.025,0.024999999999999998,4.5,4.5,23,144,0.1597222222222222
21,adult,fnlwgt,21,40,68,6,1,5,-1,0.025,0.024999999999999994,5.0,5.222222222222222,31,138,0.2246376811594203
22,adult,fnlwgt,22,39,59,6,1,7,-1,0.025641025641025647,0.025641025641025637,5.0,6.125,20,124,0.16129032258064516
23,adult,fnlwgt,23,34,57,6,1,9,-1,0.029411764705882353,0.029411764705882353,4.5,6.0,16,118,0.13559322033898305
24,adult,fnlwgt,24,37,57,7,1,7,-1,0.02702702702702703,0.02702702702702703,4.0,4.142857142857143,20,118,0.1694915254237288
25,adult,fnlwgt,25,31,62,5,1,3,-1,0.03225806451612904,0.03225806451612902,6.0,6.333333333333333,21,134,0.15671641791044777
26,adult,fnlwgt,26,43,66,6,1,7,-1,0.023255813953488372,0.02325581395348838,4.0,4.428571428571429,22,136,0.16176470588235295
27,adult,fnlwgt,27,32,55,7,1,9,-1,0.03125,0.03124999999999999,5.0,5.555555555555555,15,116,0.12931034482758622
28,adult,fnlwgt,28,36,55,7,1,17,-1,0.027777777777777776,0.027777777777777776,4.5,5.0,18,118,0.15254237288135594
29,adult,fnlwgt,29,30,52,6,1,3,-1,0.03333333333333333,0.03333333333333333,5.0,5.666666666666667,16,110,0.14545454545454545
30,adult,fnlwgt,30,35,54,8,1,11,-1,0.02857142857142857,0.02857142857142857,4.5,4.75,15,110,0.13636363636363635
31,adult,fnlwgt,31,33,53,6,1,8,-1,0.030303030303030304,0.030303030303030304,5.0,5.375,17,112,0.15178571428571427
32,adult,fnlwgt,32,31,50,8,1,9,-1,0.03225806451612904,0.03225806451612904,4.5,5.0,17,112,0.15178571428571427
33,adult,fnlwgt,33,36,60,5,1,8,-1,0.027777777777777776,0.027777777777777776,4.5,6.125,19,122,0.1557377049180328
34,adult,fnlwgt,34,35,51,7,1,8,-1,0.02857142857142857,0.028571428571428564,4.0,4.0,18,108,0.16666666666666666
35,adult,fnlwgt,35,37,62,9,1,10,-1,0.027027027027027025,0.02702702702702702,4.0,4.571428571428571,20,128,0.15625
36,adult,fnlwgt,36,41,70,8,1,10,-1,0.024390243902439022,0.024390243902439025,5.0,5.875,17,148,0.11486486486486487
37,adult,fnlwgt,37,41,64,8,1,9,-1,0.024390243902439025,0.024390243902439022,4.5,4.875,28,130,0.2153846153846154
38,adult,fnlwgt,38,36,55,7,1,5,-1,0.027777777777777773,0.027777777777777776,4.5,4.875,21,112,0.1875
39,adult,fnlwgt,39,38,58,7,1,15,-1,0.02631578947368421,0.026315789473684206,4.5,4.625,25,120,0.20833333333333334
40,adult,fnlwgt,40,39,60,7,1,13,-1,0.02564102564102564,0.025641025641025637,4.5,5.375,17,124,0.13709677419354838
41,adult,fnlwgt,41,39,60,6,1,6,-1,0.025641025641025647,0.02564102564102564,5.0,5.222222222222222,23,122,0.1885245901639344
42,adult,fnlwgt,42,40,65,7,1,5,-1,0.025,0.025,4.5,4.5,25,132,0.1893939393939394
43,adult,fnlwgt,43,33,60,5,1,3,-1,0.0303030303030303,0.03030303030303031,5.0,6.0,17,126,0.1349206349206349
44,adult,fnlwgt,44,41,70,7,1,10,-1,0.024390243902439025,0.024390243902439025,5.0,5.0,23,144,0.1597222222222222
